id,width,depth,height,weight,value,allowedRotations
I0000,1200,1600.0,1350.0,205.16,102.6,01
I0001,1200,1400.0,1450.0,179.4,89.7,0
I0002,1000,1200.0,975.0,577.8,288.9,01
I0003,1200,1400.0,1450.0,179.4,89.7,0
I0004,1000,1200.0,750.0,351.756,175.9,01
I0005,1200,1600.0,1350.0,303.92,152.1,01
I0006,1225,1400.0,1160.0,317.0,158.6,012345
I0007,1200,1400.0,1450.0,179.4,89.7,0
I0008,1200,1400.0,1450.0,179.4,89.7,0
I0009,1200,1000.0,975.0,293.32,440.0,0
I0010,570,780.0,478.0,96.256,48.1,0
I0011,1000,1200.0,975.0,169.0,84.5,01
I0012,1000,1200.0,750.0,405.72,202.9,01
I0013,1000,1200.0,975.0,293.32,146.7,01
I0014,1000,1200.0,975.0,293.32,146.7,01
I0015,1200,1400.0,1450.0,179.4,89.7,0
I0016,1200,1600.0,1350.0,303.92,152.1,01
I0017,1225,1400.0,1160.0,317.0,158.6,012345
I0018,1200,1600.0,930.0,547.3,273.8,01
I0019,1200,1400.0,1450.0,179.4,89.7,0
I0020,1200,1600.0,930.0,438.4,219.3,01
I0021,1200,1600.0,1350.0,207.72,103.9,01
I0022,1200,1600.0,1350.0,303.92,152.1,01
I0023,570,780.0,478.0,81.72,40.9,0
I0024,1000,1200.0,975.0,246.0,123.0,01
I0025,1000,1200.0,975.0,246.0,123.0,01
I0026,1200,1600.0,930.0,438.4,219.3,01
I0027,1200,1400.0,1450.0,179.4,89.7,0
I0028,1200,1000.0,975.0,293.32,440.0,0
I0029,1225,1400.0,1160.0,317.0,158.6,012345
I0030,1000,1200.0,750.0,229.88,115.0,01
I0031,1000,1200.0,975.0,527.4,263.7,01
I0032,1000,1200.0,975.0,165.375,82.7,01
I0033,1200,1400.0,1450.0,179.4,89.7,0
I0034,1000,1200.0,975.0,293.32,146.7,01
I0035,1200,1600.0,1350.0,207.72,103.9,01
I0036,1200,1600.0,1350.0,207.72,103.9,01
I0037,1225,1400.0,1160.0,278.5,139.3,012345
I0038,1200,1400.0,1450.0,179.4,89.7,0
I0039,1200,1400.0,1450.0,179.4,89.7,0
I0040,1200,1400.0,1450.0,179.4,89.7,0
I0041,1200,1400.0,1450.0,179.4,89.7,0
I0042,1225,1400.0,1160.0,317.0,158.6,012345
I0043,1200,1600.0,1350.0,303.92,152.1,01
I0044,1200,1600.0,1350.0,207.72,103.9,01
I0045,1000,1200.0,975.0,293.32,146.7,01
I0046,1200,1600.0,975.0,180.2,90.2,01
I0047,1225,1400.0,1160.0,317.0,158.6,012345
I0048,1000,1200.0,975.0,156.15,78.1,01
I0049,1000,1200.0,558.0,122.032,61.1,0
I0050,1200,1600.0,1350.0,303.92,152.1,01
I0051,1200,1600.0,1350.0,303.92,152.1,01
I0052,1000,1200.0,975.0,293.32,146.7,01
I0053,1200,1600.0,930.0,438.4,219.3,01
I0054,1000,1200.0,975.0,165.375,82.7,01
I0055,1200,1600.0,930.0,277.828,139.0,01
I0056,1200,1400.0,1450.0,179.4,89.7,0
I0057,1000,1200.0,975.0,293.32,146.7,01
I0058,1200,1400.0,1450.0,179.4,89.7,0
I0059,1200,1600.0,1350.0,205.16,102.6,01
I0060,1200,1600.0,1350.0,303.92,152.1,01
I0061,1200,1400.0,1450.0,179.4,89.7,0
I0062,1225,1400.0,1160.0,317.0,158.6,012345
I0063,1200,1400.0,1450.0,179.4,89.7,0
I0064,1200,1600.0,1350.0,303.92,152.1,01
I0065,1600,1200.0,1350.0,303.92,455.9,0
I0066,1000,1200.0,975.0,293.32,146.7,01
I0067,1000,1200.0,750.0,229.88,115.0,01
I0068,1225,1400.0,1160.0,317.0,158.6,012345
I0069,1000,1200.0,975.0,183.84,91.9,01
I0070,570,780.0,478.0,100.96,50.5,0
I0071,1200,1400.0,1450.0,179.4,89.7,0
I0072,1200,1400.0,1450.0,179.4,89.7,0
I0073,1200,1400.0,1450.0,179.4,89.7,0
I0074,1200,1600.0,1350.0,207.72,103.9,01
I0075,1200,1600.0,1350.0,303.92,152.1,01
I0076,570,780.0,478.0,270.08,135.0,0
I0077,570,780.0,478.0,100.96,50.5,0
I0078,1000,1200.0,975.0,225.6,112.8,01
I0079,1000,1200.0,975.0,384.74,192.4,01
