id,width,depth,height,weight,value,allowedRotations
I0000,1200,1400,1450,179.4,179.4,0
I0001,1000,1200,1057,179.85,269.8,0
I0002,1200,1600,1350,303.92,354.6,01
I0003,1000,1200,1155,375.0,562.5,0
I0004,1225,1400,1160,278.5,232.1,012345
I0005,1000,1200,975,293.32,195.5,01
I0006,1000,1200,975,527.4,351.6,01
I0007,1200,1400,1450,179.4,179.4,0
I0008,1200,1400,1450,179.4,179.4,0
I0009,1000,1200,750,227.528,151.7,01
I0010,1000,1200,545,729.5,486.3,01
I0011,1200,1600,1350,207.72,242.3,01
I0012,1200,1600,930,514.24,599.9,01
I0013,1200,1600,1350,207.72,242.3,01
I0014,1200,1600,1350,207.72,242.3,01
I0015,1000,1200,975,577.8,385.2,01
I0016,1200,1600,1350,205.16,239.4,01
I0017,1200,1400,1450,179.4,179.4,0
I0018,570,780,478,160.56,80.3,0
I0019,1000,1200,750,229.88,153.3,01
I0020,570,780,478,160.56,80.3,0
I0021,1200,1600,1350,207.72,242.3,01
I0022,570,780,478,81.72,40.9,0
I0023,1200,1600,975,180.2,210.2,01
I0024,1000,1200,975,169.0,112.7,01
I0025,1200,1600,975,180.2,210.2,01
I0026,570,780,478,82.32,41.2,0
I0027,1200,1400,1450,179.4,179.4,0
I0028,1200,1400,1450,179.4,179.4,0
I0029,1000,1200,545,690.5,460.3,01
I0030,1000,1200,545,690.5,460.3,01
I0031,1225,1400,1160,317.0,264.2,012345
I0032,570,780,478,100.96,50.5,0
I0033,1200,1600,930,438.4,511.5,01
I0034,1000,1200,975,293.32,195.5,01
I0035,1000,1200,750,351.944,234.6,01
I0036,570,780,478,82.32,41.2,0
I0037,1200,1600,1350,207.72,242.3,01
I0038,1200,1600,1350,303.92,354.6,01
I0039,1000,1200,750,229.88,153.3,01
I0040,1200,1600,1350,205.16,239.4,01
I0041,1200,1600,975,180.2,210.2,01
I0042,1200,1600,1350,207.72,242.3,01
I0043,1225,1400,1160,278.5,232.1,012345
I0044,570,780,478,81.72,40.9,0
I0045,570,780,478,100.96,50.5,0
I0046,1000,1200,975,337.45,225.0,01
I0047,1200,1400,1450,179.4,179.4,0
I0048,1000,1200,975,183.84,122.6,01
I0049,1000,1200,975,156.15,104.1,01
I0050,1000,1200,975,225.6,150.4,01
I0051,1225,1400,1160,278.5,232.1,012345
I0052,1000,1200,975,169.0,112.7,01
I0053,1000,1200,975,225.6,150.4,01
I0054,1200,1400,1450,179.4,179.4,0
I0055,570,780,478,160.56,80.3,0
I0056,1000,1200,750,351.944,234.6,01
I0057,1200,1600,1350,207.72,242.3,01
I0058,1225,1400,1160,317.0,264.2,012345
I0059,1200,1400,1450,179.4,179.4,0
I0060,1200,1400,1450,179.4,179.4,0
I0061,1200,1400,1450,179.4,179.4,0
I0062,570,780,478,100.96,50.5,0
I0063,1000,1200,750,227.528,151.7,01
I0064,1000,1200,1155,375.0,562.5,0
I0065,1200,1600,1350,205.16,239.4,01
I0066,1225,1400,1160,317.0,264.2,012345
I0067,1200,1400,1450,179.4,179.4,0
I0068,1200,1400,1450,179.4,179.4,0
I0069,1200,1600,1350,207.72,242.3,01
I0070,1200,1600,1350,303.92,354.6,01
I0071,1225,1400,1160,317.0,264.2,012345
I0072,1200,1600,1350,207.72,242.3,01
I0073,1000,1200,1057,179.85,269.8,0
I0074,1200,1600,1350,207.72,242.3,01
I0075,1200,1600,1350,207.72,242.3,01
I0076,1225,1400,1160,317.0,264.2,012345
I0077,1200,1600,1350,205.16,239.4,01
I0078,1000,1200,975,293.32,195.5,01
I0079,1000,1200,750,500.86,333.9,01
I0080,1200,1600,1350,303.92,354.6,01
I0081,1200,1600,1350,207.72,242.3,01
I0082,1000,1200,975,336.7,224.5,01
I0083,1200,1600,930,547.3,638.5,01
I0084,1200,1600,1350,207.72,242.3,01
I0085,570,780,478,100.96,50.5,0
I0086,1200,1400,1450,179.4,179.4,0
I0087,1200,1600,1350,207.72,242.3,01
I0088,1000,1200,975,165.375,110.2,01
I0089,1200,1400,1450,179.4,179.4,0
I0090,1200,1600,975,180.2,210.2,01
I0091,1000,1200,750,229.88,153.3,01
I0092,1000,1200,975,169.0,112.7,01
I0093,1000,1200,750,229.88,153.3,01
I0094,1200,1400,1450,179.4,179.4,0
I0095,1200,1400,1450,179.4,179.4,0
I0096,570,780,478,160.56,80.3,0
I0097,1200,1600,1350,207.72,242.3,01
I0098,570,780,478,170.28,85.1,0
I0099,1200,1400,1450,179.4,179.4,0
I0100,570,780,478,81.72,40.9,0
I0101,1225,1400,1160,278.5,232.1,012345
I0102,1200,1400,1450,179.4,179.4,0
I0103,1225,1400,1160,278.5,232.1,012345
I0104,1200,1600,975,180.2,210.2,01
I0105,1200,1600,1350,207.72,242.3,01
I0106,1200,1400,1450,179.4,179.4,0
I0107,1000,1200,545,690.5,460.3,01
I0108,1200,1600,975,180.2,210.2,01
I0109,1200,1400,1450,179.4,179.4,0
I0110,1200,1600,1350,205.16,239.4,01
I0111,1200,1400,1450,179.4,179.4,0
I0112,570,780,478,104.768,52.4,0
I0113,1200,1400,1450,179.4,179.4,0
I0114,1225,1400,1160,317.0,264.2,012345
I0115,1225,1400,1160,317.0,264.2,012345
I0116,1000,1200,975,293.32,195.5,01
I0117,1000,1200,750,229.88,153.3,01
I0118,1225,1400,1160,317.0,264.2,012345
I0119,1200,1400,1450,179.4,179.4,0
I0120,570,780,478,270.08,135.0,0
I0121,1000,1200,975,248.88,165.9,01
I0122,1000,1200,975,156.15,104.1,01
I0123,1225,1400,1160,317.0,264.2,012345
I0124,1000,1200,750,229.88,153.3,01
I0125,1225,1400,1160,317.0,264.2,012345
I0126,1200,1600,930,438.4,511.5,01
I0127,1200,1400,1450,179.4,179.4,0
I0128,1000,1200,975,183.84,122.6,01
I0129,1200,1400,1450,179.4,179.4,0
I0130,1225,1400,1160,278.5,232.1,012345
I0131,1200,1400,1450,179.4,179.4,0
I0132,1000,1200,975,169.0,112.7,01
I0133,1200,1400,1450,179.4,179.4,0
I0134,1200,1400,1450,179.4,179.4,0
I0135,1200,1400,1450,179.4,179.4,0
I0136,1200,1600,1350,303.92,354.6,01
I0137,1000,1200,750,305.32,203.5,01
I0138,570,780,478,104.768,52.4,0
I0139,1200,1400,1450,179.4,179.4,0
I0140,1200,1600,1350,205.16,239.4,01
I0141,1200,1600,975,180.2,210.2,01
I0142,1200,1600,930,547.3,638.5,01
I0143,1000,1200,975,293.32,195.5,01
I0144,570,780,478,81.72,40.9,0
I0145,1225,1400,1160,278.5,232.1,012345
I0146,1200,1400,1450,179.4,179.4,0
I0147,1200,1600,1350,205.16,239.4,01
I0148,1200,1400,1450,179.4,179.4,0
I0149,1000,1200,975,246.0,164.0,01
I0150,1200,1400,1450,179.4,179.4,0
I0151,1200,1600,1350,205.16,239.4,01
I0152,1000,1200,975,293.32,195.5,01
I0153,1200,1600,1350,207.72,242.3,01
I0154,1000,1200,930,324.1,216.1,01
I0155,1000,1200,359,77.352,116.0,0
I0156,1200,1600,975,180.2,210.2,01
I0157,1200,1600,930,438.4,511.5,01
I0158,1225,1400,1160,278.5,232.1,012345
I0159,1000,1200,750,229.88,153.3,01
I0160,570,780,478,160.56,80.3,0
I0161,1000,1200,975,156.15,104.1,01
I0162,570,780,478,100.96,50.5,0
I0163,1200,1400,1450,179.4,179.4,0
I0164,1200,1400,1450,179.4,179.4,0
I0165,1200,1400,1450,179.4,179.4,0
I0166,1200,1400,1450,179.4,179.4,0
I0167,1200,1400,1450,179.4,179.4,0
I0168,1200,1400,1450,179.4,179.4,0
I0169,1000,1200,750,227.528,151.7,01
