id,width,depth,height,weight,value,allowedRotations
I0000,1000,1200,975,168.796,98.5,012345
I0001,1200,1600,930,169.96,85.0,0
I0002,1200,1900,750,177.104,132.8,0
I0003,1000,1200,975,168.796,98.5,012345
I0004,1200,1800,930,249.0,217.9,0
I0005,1000,1200,975,129.0,75.2,012345
I0006,1200,1600,930,149.322,74.7,0
I0007,1200,1600,930,174.305,87.2,0
I0008,1000,2350,950,286.656,191.1,01
I0009,1000,1200,975,129.0,75.2,012345
I0010,1200,1600,975,181.96,91.0,0
I0011,1000,1200,750,105.224,61.4,012345
I0012,1200,1600,930,149.322,74.7,0
I0013,1200,1600,1350,207.72,103.9,0
I0014,1000,1200,975,191.52,111.7,012345
I0015,1000,1200,975,132.804,77.5,012345
I0016,1000,1200,975,129.0,75.2,012345
I0017,1550,2050,1450,215.582,170.7,01
I0018,1000,2350,950,286.656,191.1,01
I0019,1200,1600,930,169.96,85.0,0
I0020,1000,1200,975,149.31,87.1,012345
I0021,1000,1200,975,169.2,98.7,012345
I0022,1000,1200,975,129.0,75.2,012345
I0023,1200,1600,750,137.391,68.7,0
I0024,1200,1600,930,356.56,178.3,0
I0025,1000,2350,950,271.36,180.9,01
I0026,1000,1200,545,690.5,402.8,012345
I0027,1200,1600,1350,207.72,103.9,0
I0028,1200,1600,930,169.96,85.0,0
I0029,1200,1600,750,137.391,68.7,0
I0030,1000,1200,930,340.0,198.3,012345
I0031,1200,1400,1450,179.4,179.4,0
I0032,1000,1200,975,160.68,93.7,012345
I0033,1000,1200,930,291.48,170.0,012345
I0034,1200,1600,930,387.3,193.6,0
I0035,1000,1200,750,106.03,61.9,012345
I0036,1200,1900,750,177.104,132.8,0
I0037,1200,1600,930,149.322,74.7,0
I0038,1000,1200,459,55.2,29.9,01
I0039,1200,1600,930,356.56,178.3,0
I0040,1000,1200,975,134.82,78.6,012345
I0041,1200,1600,975,181.96,91.0,0
I0042,1200,1600,930,169.96,85.0,0
I0043,1400,1800,1020,303.45,290.8,012345
I0044,1550,2050,1450,215.582,170.7,01
I0045,1000,2350,950,271.36,180.9,01
I0046,1000,1200,359,39.024,21.1,01
I0047,1200,1600,930,551.56,275.8,0
I0048,1000,2350,950,272.592,181.7,01
I0049,1000,2350,950,264.88,176.6,01
I0050,1200,1900,750,177.104,132.8,0
I0051,1000,1200,1057,85.8,46.5,01
I0052,1000,1200,1057,82.86,44.9,01
I0053,1000,1200,975,142.59,83.2,012345
I0054,1200,1600,1350,312.72,156.4,0
I0055,1000,1200,359,59.475,32.2,01
I0056,1000,1200,1057,82.86,44.9,01
I0057,1000,1200,750,105.224,61.4,012345
I0058,1000,1200,975,169.2,98.7,012345
I0059,1000,1200,975,131.366,76.6,012345
I0060,1000,1200,459,47.02,25.5,01
I0061,1200,2000,545,408.88,289.6,012345
I0062,1600,2200,1450,258.56,280.1,012345
I0063,1200,1600,975,212.2,106.1,0
I0064,1600,2200,1450,258.56,280.1,012345
I0065,570,780,478,270.08,225.1,012345
I0066,1200,1600,930,227.0,113.5,0
I0067,1000,1200,758,79.12,42.9,01
I0068,1200,1600,930,174.305,87.2,0
I0069,1200,1600,930,169.96,85.0,0
I0070,1200,1600,975,178.6,89.3,0
I0071,1200,1400,1450,179.4,179.4,0
I0072,1200,1600,930,169.96,85.0,0
I0073,1200,1600,930,174.305,87.2,0
I0074,1000,1200,975,129.0,75.2,012345
I0075,1200,1600,930,830.32,415.2,0
I0076,1200,1600,750,137.391,68.7,0
I0077,1000,1200,975,131.366,76.6,012345
I0078,1200,1600,930,227.0,113.5,0
I0079,1000,1200,750,105.224,61.4,012345
I0080,1200,1400,1450,179.4,179.4,0
I0081,1000,1200,975,168.796,98.5,012345
I0082,1200,1600,930,454.873,227.4,0
I0083,1000,1200,975,139.98,81.7,012345
I0084,1000,1200,558,61.6,33.4,01
I0085,1400,1800,1020,201.008,192.6,012345
I0086,1200,1600,975,155.8,77.9,0
I0087,1600,2200,1450,258.56,280.1,012345
