id,width,depth,height,weight,value,allowedRotations
I0000,1600,2200,1450,258.56,268.5,012345
I0001,1550,2050,1450,215.582,165.8,01
I0002,1000,1200,750,135.8,78.3,012345
I0003,1200,1800,930,249.0,210.7,0
I0004,1550,2050,1450,215.582,165.8,01
I0005,1200,1900,750,257.46,188.1,0
I0006,1530,2030,1350,294.22,294.2,01
I0007,1200,1400,1450,179.4,172.5,0
I0008,1200,1800,930,249.0,210.7,0
I0009,1400,1800,1020,201.008,185.5,012345
I0010,1000,2350,950,271.36,177.4,01
I0011,1200,1800,930,249.0,210.7,0
I0012,1600,2200,1450,258.56,268.5,012345
I0013,1400,1800,1020,201.008,185.5,012345
I0014,570,780,478,104.768,84.6,012345
I0015,570,780,478,100.96,81.5,012345
I0016,1200,2000,545,408.88,283.1,012345
I0017,1600,2200,1450,258.56,268.5,012345
I0018,1200,1600,750,148.86,74.4,0
I0019,1600,2200,1450,258.56,268.5,012345
I0020,1550,2050,1450,215.582,165.8,01
I0021,1200,1400,1450,179.4,172.5,0
I0022,570,780,478,100.96,81.5,012345
I0023,1200,1910,1295,613.59,755.2,01
I0024,1200,1900,750,177.104,129.4,0
I0025,1400,1800,1020,201.008,185.5,012345
I0026,570,780,478,100.96,81.5,012345
I0027,1400,1800,1020,303.45,280.1,012345
I0028,1550,2050,1450,215.582,165.8,01
I0029,1200,1910,1295,613.59,755.2,01
I0030,570,780,478,100.96,81.5,012345
I0031,1000,2350,950,271.36,177.4,01
I0032,1200,2000,2350,367.608,494.9,01
I0033,1200,1600,750,197.34,98.7,0
I0034,1200,1910,1295,613.59,755.2,01
I0035,1000,1200,975,248.88,143.6,012345
I0036,1200,1910,1295,613.59,755.2,01
I0037,1000,2350,950,286.656,187.4,01
I0038,1000,2350,950,286.656,187.4,01
I0039,1200,1600,1350,207.72,103.9,0
I0040,1000,2350,950,264.88,173.2,01
I0041,1200,1900,750,177.104,129.4,0
I0042,1000,2350,950,286.656,187.4,01
I0043,1200,1400,1450,179.4,172.5,0
I0044,1200,1600,930,149.322,74.7,0
I0045,1200,2000,2350,367.608,494.9,01
I0046,1530,2030,1350,245.36,245.4,01
I0047,1200,1400,1450,179.4,172.5,0
I0048,1200,1400,1450,179.4,172.5,0
I0049,1200,1400,1450,179.4,172.5,0
I0050,1200,1600,930,307.13,153.6,0
I0051,1200,1800,930,249.0,210.7,0
I0052,1200,1800,930,249.0,210.7,0
