id,width,depth,height,weight,value,allowedRotations
I0000,1200,1600,930,607.6,303.8,0
I0001,1000,1200,930,345.29,199.2,012345
I0002,1400,1800,1020,303.45,280.1,012345
I0003,1200,1600,1350,303.92,152.0,0
I0004,1400,1800,1020,303.45,280.1,012345
I0005,1200,1800,1350,820.48,694.3,0
I0006,1000,1200,930,414.14,238.9,012345
I0007,1200,1600,1350,312.72,156.4,0
I0008,1200,2000,2350,367.608,494.9,01
I0009,1000,1200,930,345.29,199.2,012345
I0010,1200,1600,930,551.56,275.8,0
I0011,1200,1800,1350,820.48,694.3,0
I0012,1200,2000,545,408.88,283.1,012345
I0013,1200,1600,930,307.13,153.6,0
I0014,1200,1600,930,356.2,178.1,0
I0015,1000,1200,975,329.77,190.3,012345
I0016,1000,1200,930,414.14,238.9,012345
I0017,1400,1800,1020,303.45,280.1,012345
I0018,1200,1600,750,323.7,161.8,0
I0019,1200,1600,750,323.7,161.8,0
I0020,1200,1600,930,607.6,303.8,0
I0021,1200,1600,975,460.0,230.0,0
I0022,1200,2000,2350,367.608,494.9,01
I0023,1200,1600,930,454.873,227.4,0
I0024,1200,1600,930,370.78,185.4,0
I0025,1200,1600,930,784.6,392.3,0
I0026,1000,1200,545,526.75,303.9,012345
I0027,1000,1200,1155,373.25,201.0,01
I0028,1200,1600,930,356.2,178.1,0
I0029,1200,1600,930,438.4,219.2,0
I0030,1200,1600,930,438.4,219.2,0
I0031,1400,1800,1020,303.45,280.1,012345
I0032,1200,1600,930,307.13,153.6,0
I0033,1000,1200,930,340.1,196.2,012345
I0034,1200,1900,750,713.62,521.5,0
I0035,1200,1600,930,370.78,185.4,0
I0036,1000,1200,930,704.36,406.4,012345
I0037,1200,1600,930,307.13,153.6,0
I0038,1200,1600,1350,303.92,152.0,0
I0039,1200,1600,930,356.2,178.1,0
I0040,1200,1600,930,438.4,219.2,0
I0041,1200,1910,1295,613.59,755.2,01
I0042,1200,1600,930,307.13,153.6,0
I0043,1000,1200,930,347.0,200.2,012345
I0044,1000,1200,930,347.0,200.2,012345
I0045,1200,1600,930,551.56,275.8,0
I0046,1200,1800,1350,820.48,694.3,0
I0047,1200,1600,930,387.3,193.6,0
I0048,1200,1910,1295,613.59,755.2,01
I0049,1200,1800,1350,820.48,694.3,0
