id,width,depth,height,weight,value,allowedRotations
I0000,800,950,1100,100,50.0,0
I0001,1200,800,800,200,300.0,01
I0002,1200,800,800,100,150.0,01
I0003,1200,800,800,100,150.0,01
I0004,800,950,1100,100,50.0,0
I0005,1200,800,800,200,300.0,01
I0006,1200,800,800,100,150.0,01
I0007,1200,800,800,100,150.0,01
I0008,1200,800,800,200,300.0,01
I0009,800,950,1100,200,100.0,0
I0010,800,950,1100,100,50.0,0
I0011,800,950,1100,100,50.0,0
I0012,1200,800,800,200,300.0,01
I0013,800,950,1100,100,50.0,0
I0014,800,950,1100,200,100.0,0
I0015,800,950,1100,200,100.0,0
I0016,1200,800,800,200,300.0,01
I0017,1200,800,800,200,300.0,01
I0018,1200,800,800,100,150.0,01
I0019,800,950,1100,100,50.0,0
I0020,800,950,1100,100,50.0,0
I0021,800,950,1100,100,50.0,0
I0022,800,950,1100,100,50.0,0
I0023,1200,800,800,100,150.0,01
I0024,1200,800,800,100,150.0,01
I0025,800,950,1100,100,50.0,0
I0026,1200,800,800,100,150.0,01
I0027,1200,800,800,200,300.0,01
I0028,1200,800,800,200,300.0,01
I0029,800,950,1100,200,100.0,0
I0030,1200,800,800,100,150.0,01
I0031,800,950,1100,200,100.0,0
I0032,1200,800,800,100,150.0,01
I0033,800,950,1100,200,100.0,0
I0034,800,950,1100,100,50.0,0
I0035,800,950,1100,100,50.0,0
I0036,1200,800,800,200,300.0,01
I0037,1200,800,800,200,300.0,01
I0038,800,950,1100,100,50.0,0
I0039,1200,800,800,100,150.0,01
I0040,800,950,1100,100,50.0,0
I0041,800,950,1100,100,50.0,0
I0042,800,950,1100,200,100.0,0
I0043,1200,800,800,200,300.0,01
I0044,800,950,1100,200,100.0,0
I0045,800,950,1100,200,100.0,0
I0046,1200,800,800,200,300.0,01
I0047,800,950,1100,200,100.0,0
I0048,1200,800,800,200,300.0,01
I0049,1200,800,800,200,300.0,01
