id,width,depth,height,weight,value,allowedRotations
I0000,1000,1500,800,656.0,984.0,01
I0001,800,1500,800,0.0,0.0,0
I0002,1000,1500,800,0.0,0.0,01
I0003,1000,1500,800,651.0,976.5,01
I0004,1000,1500,800,683.0,1024.5,01
I0005,1000,1500,800,997.0,1495.5,01
I0006,1000,1500,800,757.0,1135.5,01
I0007,1000,1500,800,1007.0,1510.5,01
I0008,800,1500,800,521.0,260.5,0
I0009,800,1500,800,1024.0,512.0,0
I0010,800,1500,800,678.0,339.0,0
I0011,1000,1500,800,806.0,1209.0,01
I0012,1000,1500,800,703.0,1054.5,01
I0013,800,1500,800,755.0,377.5,0
I0014,1000,1500,800,864.0,1296.0,01
I0015,800,1500,800,643.0,321.5,0
I0016,1000,1500,800,600.0,900.0,01
I0017,800,1500,800,598.0,299.0,0
I0018,1000,1500,800,600.0,900.0,01
I0019,800,1500,800,855.0,427.5,0
I0020,1000,1500,800,670.0,1005.0,01
I0021,800,1500,800,1112.0,556.0,0
I0022,1000,1500,800,0.0,0.0,01
I0023,1000,1500,800,0.0,0.0,01
I0024,800,1500,800,0.0,0.0,0
I0025,1000,1500,800,682.0,1023.0,01
I0026,800,1500,800,539.0,269.5,0
I0027,1000,1500,800,509.0,763.5,01
I0028,800,1500,800,830.0,415.0,0
I0029,800,1500,800,684.0,342.0,0
I0030,1000,1500,800,0.0,0.0,01
I0031,800,1500,800,579.0,289.5,0
I0032,1000,1500,800,724.0,1086.0,01
I0033,800,1500,800,779.0,389.5,0
I0034,800,1500,800,870.0,435.0,0
I0035,1000,1500,800,669.0,1003.5,01
I0036,1000,1500,800,853.0,1279.5,01
I0037,1000,1500,800,947.0,1420.5,01
I0038,1000,1500,800,0.0,0.0,01
I0039,1000,1500,800,606.0,909.0,01
I0040,800,1500,800,663.0,331.5,0
I0041,1000,1500,800,718.0,1077.0,01
I0042,800,1500,800,608.0,304.0,0
I0043,1000,1500,800,713.0,1069.5,01
I0044,1000,1500,800,844.0,1266.0,01
I0045,1000,1500,800,708.0,1062.0,01
I0046,800,1500,800,690.0,345.0,0
I0047,800,1500,800,767.0,383.5,0
I0048,1000,1500,800,673.0,1009.5,01
I0049,1000,1500,800,571.0,856.5,01
I0050,1000,1500,800,836.0,1254.0,01
I0051,1000,1500,800,754.0,1131.0,01
I0052,800,1500,800,677.0,338.5,0
I0053,800,1500,800,597.0,298.5,0
I0054,1000,1500,800,879.0,1318.5,01
I0055,1000,1500,800,539.0,808.5,01
I0056,1000,1500,800,702.0,1053.0,01
I0057,1000,1500,800,0.0,0.0,01
I0058,800,1500,800,567.0,283.5,0
I0059,800,1500,800,751.0,375.5,0
I0060,1000,1500,800,645.0,967.5,01
