id,width,depth,height,weight,value,allowedRotations
I0000,1000,1500,800,0.0,0.0,01
I0001,1000,1500,800,0.0,0.0,01
I0002,1000,1500,800,1055.0,1582.5,01
I0003,800,1500,800,1436.0,718.0,0
I0004,800,1500,800,1034.0,517.0,0
I0005,800,1500,800,1131.0,565.5,0
I0006,800,1500,800,1159.0,579.5,0
I0007,800,1500,800,1044.0,522.0,0
I0008,1000,1500,800,0.0,0.0,01
I0009,800,1500,800,0.0,0.0,0
I0010,1000,1500,800,0.0,0.0,01
I0011,800,1500,800,1380.0,690.0,0
I0012,1000,1500,800,1094.0,1641.0,01
I0013,1000,1500,800,801.0,1201.5,01
I0014,800,1500,800,807.0,403.5,0
I0015,800,1500,800,1077.0,538.5,0
I0016,1000,1500,800,0.0,0.0,01
I0017,1000,1500,800,0.0,0.0,01
I0018,1000,1500,800,1108.0,1662.0,01
I0019,800,1500,800,962.0,481.0,0
I0020,1000,1500,800,0.0,0.0,01
I0021,800,1500,800,960.0,480.0,0
I0022,800,1500,800,0.0,0.0,0
I0023,1000,1500,800,0.0,0.0,01
I0024,800,1500,800,0.0,0.0,0
I0025,1000,1500,800,0.0,0.0,01
I0026,800,1500,800,0.0,0.0,0
I0027,1000,1500,800,883.0,1324.5,01
I0028,800,1500,800,952.0,476.0,0
I0029,800,1500,800,0.0,0.0,0
I0030,800,1500,800,951.0,475.5,0
I0031,800,1500,800,1407.0,703.5,0
I0032,1000,1500,800,0.0,0.0,01
I0033,1000,1500,800,0.0,0.0,01
I0034,800,1500,800,786.0,393.0,0
I0035,800,1500,800,0.0,0.0,0
I0036,1000,1500,800,0.0,0.0,01
I0037,1000,1500,800,0.0,0.0,01
I0038,1000,1500,800,0.0,0.0,01
I0039,800,1500,800,0.0,0.0,0
I0040,800,1500,800,1030.0,515.0,0
I0041,1000,1500,800,0.0,0.0,01
I0042,1000,1500,800,1061.0,1591.5,01
I0043,1000,1500,800,995.0,1492.5,01
I0044,800,1500,800,0.0,0.0,0
I0045,1000,1500,800,1135.0,1702.5,01
I0046,1000,1500,800,1397.0,2095.5,01
I0047,1000,1500,800,840.0,1260.0,01
I0048,1000,1500,800,1036.0,1554.0,01
I0049,800,1500,800,857.0,428.5,0
I0050,800,1500,800,999.0,499.5,0
I0051,800,1500,800,1309.0,654.5,0
I0052,800,1500,800,0.0,0.0,0
I0053,1000,1500,800,1203.0,1804.5,01
I0054,1000,1500,800,0.0,0.0,01
I0055,1000,1500,800,1362.0,2043.0,01
I0056,1000,1500,800,974.0,1461.0,01
I0057,800,1500,800,1023.0,511.5,0
I0058,800,1500,800,1055.0,527.5,0
I0059,800,1500,800,0.0,0.0,0
I0060,1000,1500,800,1391.0,2086.5,01
I0061,1000,1500,800,1262.0,1893.0,01
I0062,800,1500,800,969.0,484.5,0
I0063,1000,1500,800,0.0,0.0,01
I0064,800,1500,800,1127.0,563.5,0
I0065,1000,1500,800,0.0,0.0,01
I0066,800,1500,800,0.0,0.0,0
I0067,1000,1500,800,1025.0,1537.5,01
I0068,1000,1500,800,0.0,0.0,01
I0069,1000,1500,800,851.0,1276.5,01
I0070,800,1500,800,1021.0,510.5,0
I0071,1000,1500,800,1300.0,1950.0,01
I0072,1000,1500,800,1339.0,2008.5,01
I0073,800,1500,800,929.0,464.5,0
I0074,800,1500,800,1122.0,561.0,0
I0075,800,1500,800,0.0,0.0,0
I0076,1000,1500,800,0.0,0.0,01
I0077,1000,1500,800,1459.0,2188.5,01
I0078,800,1500,800,984.0,492.0,0
I0079,800,1500,800,0.0,0.0,0
I0080,800,1500,800,0.0,0.0,0
I0081,800,1500,800,806.0,403.0,0
I0082,1000,1500,800,1077.0,1615.5,01
I0083,800,1500,800,1127.0,563.5,0
I0084,1000,1500,800,1053.0,1579.5,01
I0085,800,1500,800,0.0,0.0,0
I0086,800,1500,800,1225.0,612.5,0
I0087,800,1500,800,0.0,0.0,0
I0088,1000,1500,800,0.0,0.0,01
I0089,800,1500,800,1389.0,694.5,0
I0090,1000,1500,800,1474.0,2211.0,01
I0091,800,1500,800,990.0,495.0,0
I0092,800,1500,800,0.0,0.0,0
I0093,800,1500,800,1499.0,749.5,0
I0094,800,1500,800,1104.0,552.0,0
I0095,1000,1500,800,925.0,1387.5,01
I0096,1000,1500,800,948.0,1422.0,01
I0097,1000,1500,800,0.0,0.0,01
I0098,800,1500,800,882.0,441.0,0
I0099,800,1500,800,1244.0,622.0,0
I0100,800,1500,800,1273.0,636.5,0
I0101,1000,1500,800,0.0,0.0,01
I0102,800,1500,800,1157.0,578.5,0
I0103,800,1500,800,1473.0,736.5,0
I0104,1000,1500,800,1550.0,2325.0,01
I0105,800,1500,800,0.0,0.0,0
I0106,800,1500,800,1053.0,526.5,0
I0107,1000,1500,800,1028.0,1542.0,01
I0108,800,1500,800,0.0,0.0,0
I0109,1000,1500,800,0.0,0.0,01
I0110,800,1500,800,0.0,0.0,0
I0111,800,1500,800,953.0,476.5,0
I0112,1000,1500,800,921.0,1381.5,01
I0113,800,1500,800,929.0,464.5,0
I0114,1000,1500,800,0.0,0.0,01
I0115,800,1500,800,918.0,459.0,0
I0116,1000,1500,800,0.0,0.0,01
I0117,800,1500,800,0.0,0.0,0
I0118,1000,1500,800,1354.0,2031.0,01
I0119,800,1500,800,580.0,290.0,0
I0120,800,1500,800,1310.0,655.0,0
I0121,800,1500,800,1059.0,529.5,0
I0122,800,1500,800,1367.0,683.5,0
I0123,1000,1500,800,0.0,0.0,01
I0124,800,1500,800,1130.0,565.0,0
I0125,800,1500,800,1254.0,627.0,0
I0126,1000,1500,800,1058.0,1587.0,01
I0127,800,1500,800,0.0,0.0,0
I0128,1000,1500,800,985.0,1477.5,01
I0129,800,1500,800,1116.0,558.0,0
I0130,800,1500,800,0.0,0.0,0
I0131,1000,1500,800,1009.0,1513.5,01
I0132,800,1500,800,1155.0,577.5,0
I0133,800,1500,800,0.0,0.0,0
I0134,800,1500,800,0.0,0.0,0
I0135,1000,1500,800,1117.0,1675.5,01
I0136,800,1500,800,0.0,0.0,0
I0137,800,1500,800,1330.0,665.0,0
I0138,800,1500,800,1328.0,664.0,0
I0139,1000,1500,800,948.0,1422.0,01
I0140,800,1500,800,0.0,0.0,0
I0141,1000,1500,800,1026.0,1539.0,01
I0142,800,1500,800,868.0,434.0,0
I0143,800,1500,800,941.0,470.5,0
I0144,1000,1500,800,908.0,1362.0,01
I0145,1000,1500,800,1010.0,1515.0,01
I0146,800,1500,800,1091.0,545.5,0
I0147,1000,1500,800,0.0,0.0,01
I0148,800,1500,800,1425.0,712.5,0
I0149,800,1500,800,1504.0,752.0,0
