id,width,depth,height,weight,value,allowedRotations
I0000,500,800,615,0.0,0.0,01
I0001,460,800,615,453.0,226.5,0
I0002,1000,1500,615,269.0,403.5,01
I0003,800,1200,615,0.0,0.0,01
I0004,1000,1500,615,0.0,0.0,01
I0005,1000,1200,615,434.0,589.0,0
I0006,1000,1500,615,248.0,372.0,01
I0007,800,1000,615,0.0,0.0,0
I0008,600,800,615,173.0,135.9,012345
I0009,500,800,615,288.0,185.1,01
I0010,1000,1500,615,264.0,396.0,01
I0011,800,1200,615,110.0,117.9,01
I0012,800,1000,615,288.0,267.4,0
I0013,460,800,615,111.0,55.5,0
I0014,800,1500,615,362.0,439.6,012345
I0015,460,800,615,398.0,199.0,0
I0016,500,800,615,309.0,198.6,01
I0017,460,800,615,386.0,193.0,0
I0018,1000,1200,615,355.0,481.8,0
I0019,1000,1500,615,235.0,352.5,01
I0020,800,1500,615,251.0,304.8,012345
I0021,800,1200,615,338.0,362.1,01
I0022,1000,1500,615,281.0,421.5,01
I0023,800,1500,615,0.0,0.0,012345
I0024,800,1500,615,331.0,401.9,012345
I0025,800,1200,615,0.0,0.0,01
I0026,800,1000,615,429.0,398.4,0
I0027,1000,1500,615,180.0,270.0,01
I0028,800,1000,615,340.0,315.7,0
I0029,800,1000,615,278.0,258.1,0
I0030,1000,1200,615,287.0,389.5,0
I0031,1000,1200,615,210.0,285.0,0
I0032,500,800,615,202.0,129.9,01
I0033,1000,1200,615,194.0,263.3,0
I0034,500,800,615,324.0,208.3,01
I0035,800,1200,615,404.0,432.9,01
I0036,800,1500,615,265.0,321.8,012345
I0037,500,800,615,350.0,225.0,01
I0038,460,800,615,277.0,138.5,0
I0039,1000,1500,615,403.0,604.5,01
I0040,1000,1200,615,303.0,411.2,0
I0041,1000,1200,615,232.0,314.9,0
I0042,1000,1500,615,283.0,424.5,01
I0043,1000,1200,615,191.0,259.2,0
I0044,1000,1500,615,0.0,0.0,01
I0045,800,1500,615,376.0,456.6,012345
I0046,800,1200,615,206.0,220.7,01
I0047,500,800,615,338.0,217.3,01
I0048,1000,1200,615,199.0,270.1,0
I0049,460,800,615,159.0,79.5,0
I0050,800,1000,615,143.0,132.8,0
I0051,800,1200,615,180.0,192.9,01
I0052,800,1200,615,274.0,293.6,01
I0053,1000,1200,615,191.0,259.2,0
I0054,800,1200,615,274.0,293.6,01
I0055,1000,1500,615,340.0,510.0,01
I0056,1000,1500,615,103.0,154.5,01
I0057,800,1200,615,233.0,249.6,01
I0058,500,800,615,157.0,100.9,01
I0059,500,800,615,353.0,226.9,01
I0060,1000,1500,615,244.0,366.0,01
I0061,600,800,615,358.0,281.3,012345
I0062,800,1200,615,352.0,377.1,01
I0063,500,800,615,333.0,214.1,01
I0064,800,1200,615,198.0,212.1,01
I0065,500,800,615,417.0,268.1,01
I0066,800,1000,615,318.0,295.3,0
I0067,800,1500,615,354.0,429.9,012345
I0068,800,1500,615,0.0,0.0,012345
I0069,800,1500,615,0.0,0.0,012345
I0070,1000,1200,615,167.0,226.6,0
I0071,1000,1200,615,250.0,339.3,0
I0072,800,1000,615,293.0,272.1,0
I0073,800,1500,615,339.0,411.6,012345
I0074,1000,1200,615,230.0,312.1,0
I0075,600,800,615,366.0,287.6,012345
I0076,500,800,615,0.0,0.0,01
I0077,500,800,615,462.0,297.0,01
I0078,1000,1500,615,145.0,217.5,01
I0079,460,800,615,258.0,129.0,0
I0080,1000,1200,615,106.0,143.9,0
I0081,800,1200,615,179.0,191.8,01
I0082,1000,1500,615,129.0,193.5,01
I0083,600,800,615,403.0,316.6,012345
I0084,1000,1500,615,243.0,364.5,01
I0085,800,1500,615,213.0,258.6,012345
I0086,800,1500,615,332.0,403.1,012345
I0087,600,800,615,102.0,80.1,012345
I0088,800,1200,615,136.0,145.7,01
I0089,800,1200,615,356.0,381.4,01
I0090,800,1200,615,308.0,330.0,01
I0091,500,800,615,204.0,131.1,01
I0092,460,800,615,136.0,68.0,0
I0093,800,1200,615,268.0,287.1,01
I0094,500,800,615,366.0,235.3,01
I0095,600,800,615,249.0,195.6,012345
I0096,1000,1200,615,291.0,394.9,0
I0097,1000,1500,615,387.0,580.5,01
I0098,600,800,615,275.0,216.1,012345
I0099,800,1200,615,105.0,112.5,01
I0100,800,1500,615,285.0,346.1,012345
I0101,1000,1500,615,351.0,526.5,01
I0102,1000,1500,615,151.0,226.5,01
I0103,1000,1500,615,132.0,198.0,01
I0104,1000,1500,615,331.0,496.5,01
I0105,800,1000,615,432.0,401.1,0
I0106,600,800,615,381.0,299.4,012345
I0107,460,800,615,227.0,113.5,0
I0108,800,1500,615,385.0,467.5,012345
I0109,800,1000,615,372.0,345.4,0
I0110,1000,1500,615,351.0,526.5,01
I0111,1000,1200,615,226.0,306.7,0
I0112,500,800,615,268.0,172.3,01
I0113,500,800,615,375.0,241.1,01
I0114,800,1200,615,362.0,387.9,01
I0115,1000,1200,615,297.0,403.1,0
I0116,800,1500,615,361.0,438.4,012345
I0117,460,800,615,440.0,220.0,0
I0118,800,1500,615,383.0,465.1,012345
I0119,600,800,615,433.0,340.2,012345
I0120,600,800,615,134.0,105.3,012345
I0121,1000,1500,615,318.0,477.0,01
I0122,600,800,615,206.0,161.9,012345
I0123,800,1200,615,229.0,245.4,01
I0124,600,800,615,0.0,0.0,012345
I0125,600,800,615,226.0,177.6,012345
I0126,460,800,615,178.0,89.0,0
I0127,800,1200,615,0.0,0.0,01
I0128,600,800,615,440.0,345.7,012345
I0129,500,800,615,398.0,255.9,01
I0130,500,800,615,0.0,0.0,01
I0131,1000,1200,615,193.0,261.9,0
I0132,800,1200,615,405.0,433.9,01
I0133,800,1000,615,417.0,387.2,0
I0134,800,1500,615,192.0,233.1,012345
I0135,1000,1500,615,240.0,360.0,01
I0136,500,800,615,133.0,85.5,01
I0137,1000,1200,615,0.0,0.0,0
I0138,600,800,615,118.0,92.7,012345
I0139,600,800,615,284.0,223.1,012345
I0140,460,800,615,169.0,84.5,0
I0141,800,1200,615,374.0,400.7,01
I0142,1000,1200,615,170.0,230.7,0
I0143,460,800,615,422.0,211.0,0
I0144,460,800,615,169.0,84.5,0
I0145,600,800,615,285.0,223.9,012345
I0146,800,1000,615,408.0,378.9,0
I0147,800,1500,615,0.0,0.0,012345
I0148,460,800,615,216.0,108.0,0
I0149,500,800,615,367.0,235.9,01
I0150,1000,1500,615,380.0,570.0,01
I0151,500,800,615,387.0,248.8,01
I0152,500,800,615,149.0,95.8,01
I0153,800,1000,615,413.0,383.5,0
I0154,800,1500,615,249.0,302.4,012345
I0155,600,800,615,365.0,286.8,012345
I0156,800,1200,615,263.0,281.8,01
I0157,600,800,615,221.0,173.6,012345
I0158,460,800,615,286.0,143.0,0
I0159,800,1200,615,239.0,256.1,01
I0160,460,800,615,134.0,67.0,0
I0161,800,1500,615,322.0,391.0,012345
I0162,460,800,615,209.0,104.5,0
I0163,460,800,615,316.0,158.0,0
I0164,1000,1200,615,347.0,470.9,0
I0165,600,800,615,0.0,0.0,012345
I0166,600,800,615,198.0,155.6,012345
I0167,500,800,615,290.0,186.4,01
I0168,460,800,615,409.0,204.5,0
I0169,800,1000,615,264.0,245.1,0
I0170,500,800,615,296.0,190.3,01
I0171,800,1500,615,202.0,245.3,012345
I0172,600,800,615,248.0,194.9,012345
I0173,1000,1500,615,224.0,336.0,01
I0174,600,800,615,93.0,73.1,012345
I0175,800,1200,615,368.0,394.3,01
I0176,1000,1500,615,234.0,351.0,01
I0177,800,1000,615,417.0,387.2,0
I0178,460,800,615,347.0,173.5,0
I0179,1000,1500,615,322.0,483.0,01
I0180,460,800,615,0.0,0.0,0
I0181,800,1200,615,307.0,328.9,01
I0182,800,1200,615,210.0,225.0,01
I0183,460,800,615,368.0,184.0,0
I0184,800,1000,615,363.0,337.1,0
I0185,1000,1500,615,205.0,307.5,01
I0186,460,800,615,306.0,153.0,0
I0187,800,1500,615,413.0,501.5,012345
I0188,460,800,615,382.0,191.0,0
I0189,460,800,615,205.0,102.5,0
I0190,600,800,615,129.0,101.4,012345
I0191,800,1200,615,176.0,188.6,01
I0192,460,800,615,160.0,80.0,0
I0193,1000,1500,615,260.0,390.0,01
I0194,460,800,615,201.0,100.5,0
I0195,460,800,615,268.0,134.0,0
I0196,800,1500,615,463.0,562.2,012345
I0197,1000,1200,615,286.0,388.1,0
I0198,800,1200,615,344.0,368.6,01
I0199,600,800,615,274.0,215.3,012345
I0200,500,800,615,389.0,250.1,01
I0201,600,800,615,393.0,308.8,012345
