id,width,depth,height,weight,value,allowedRotations
I0000,1200,800,2400,214.0,107.0,0
I0001,1200,800,2400,317.0,158.5,0
I0002,600,600,800,726.0,1089.0,0
I0003,600,600,800,377.0,565.5,0
I0004,600,600,800,440.0,660.0,0
I0005,1200,800,200,18.0,9.0,0
I0006,1200,1200,2500,289.0,337.2,012345
I0007,1200,1200,100,15.0,17.5,012345
I0008,800,800,1200,555.0,462.5,01
I0009,800,800,200,19.0,15.8,01
I0010,600,600,800,425.0,637.5,0
I0011,1200,1200,2500,370.0,431.7,012345
I0012,1200,1200,2500,263.0,306.8,012345
I0013,800,800,200,11.0,9.2,01
I0014,1200,800,200,9.0,4.5,0
I0015,600,600,200,15.0,22.5,0
I0016,1200,800,2400,566.0,283.0,0
I0017,1200,800,2400,646.0,323.0,0
I0018,600,600,200,11.0,16.5,0
I0019,1200,1200,100,14.0,16.3,012345
I0020,1200,1200,2500,562.0,655.7,012345
I0021,1200,800,2400,493.0,246.5,0
I0022,800,800,200,3.0,2.5,01
I0023,1200,1200,2500,513.0,598.5,012345
I0024,600,600,800,225.0,337.5,0
I0025,1200,800,200,18.0,9.0,0
I0026,600,600,200,5.0,7.5,0
I0027,800,800,1200,761.0,634.2,01
I0028,800,800,1200,690.0,575.0,01
I0029,1200,1200,2500,466.0,543.7,012345
I0030,600,600,800,264.0,396.0,0
I0031,1200,800,2400,376.0,188.0,0
I0032,1200,1200,2500,386.0,450.3,012345
I0033,800,800,1200,655.0,545.8,01
I0034,800,800,1200,340.0,283.3,01
I0035,1200,1200,100,7.0,8.2,012345
I0036,600,600,200,9.0,13.5,0
I0037,1200,800,2400,558.0,279.0,0
I0038,800,800,200,13.0,10.8,01
I0039,800,800,1200,423.0,352.5,01
I0040,800,800,200,17.0,14.2,01
I0041,600,600,200,17.0,25.5,0
I0042,800,800,200,6.0,5.0,01
I0043,600,600,200,13.0,19.5,0
I0044,1200,1200,2500,431.0,502.8,012345
I0045,1200,1200,2500,478.0,557.7,012345
I0046,1200,1200,2500,599.0,698.8,012345
I0047,1200,800,2400,361.0,180.5,0
I0048,800,800,200,13.0,10.8,01
I0049,1200,800,200,6.0,3.0,0
I0050,1200,1200,2500,464.0,541.3,012345
I0051,600,600,200,12.0,18.0,0
I0052,600,600,200,13.0,19.5,0
I0053,1200,1200,2500,530.0,618.3,012345
I0054,600,600,200,9.0,13.5,0
I0055,1200,1200,100,8.0,9.3,012345
I0056,600,600,200,7.0,10.5,0
I0057,1200,1200,2500,745.0,869.2,012345
I0058,800,800,200,10.0,8.3,01
I0059,600,600,200,11.0,16.5,0
I0060,600,600,800,701.0,1051.5,0
I0061,800,800,1200,555.0,462.5,01
I0062,800,800,200,19.0,15.8,01
I0063,800,800,1200,347.0,289.2,01
I0064,1200,800,200,8.0,4.0,0
I0065,800,800,200,4.0,3.3,01
I0066,800,800,200,16.0,13.3,01
I0067,1200,1200,100,10.0,11.7,012345
I0068,1200,800,200,12.0,6.0,0
I0069,600,600,200,12.0,18.0,0
I0070,1200,800,200,11.0,5.5,0
I0071,600,600,200,10.0,15.0,0
I0072,1200,800,2400,240.0,120.0,0
I0073,800,800,1200,589.0,490.8,01
I0074,1200,800,200,8.0,4.0,0
I0075,600,600,800,588.0,882.0,0
I0076,600,600,200,11.0,16.5,0
I0077,1200,800,200,11.0,5.5,0
I0078,600,600,200,13.0,19.5,0
I0079,800,800,1200,200.0,166.7,01
I0080,800,800,1200,478.0,398.3,01
I0081,1200,800,200,4.0,2.0,0
I0082,1200,1200,2500,614.0,716.3,012345
I0083,600,600,200,12.0,18.0,0
I0084,800,800,200,5.0,4.2,01
I0085,800,800,200,8.0,6.7,01
I0086,800,800,1200,661.0,550.8,01
I0087,800,800,200,8.0,6.7,01
I0088,800,800,200,15.0,12.5,01
I0089,600,600,800,196.0,294.0,0
I0090,600,600,200,9.0,13.5,0
I0091,1200,1200,2500,518.0,604.3,012345
I0092,600,600,800,403.0,604.5,0
I0093,600,600,200,6.0,9.0,0
I0094,1200,1200,100,3.0,3.5,012345
I0095,600,600,800,591.0,886.5,0
I0096,600,600,800,240.0,360.0,0
I0097,1200,1200,2500,520.0,606.7,012345
I0098,600,600,800,549.0,823.5,0
I0099,1200,1200,100,8.0,9.3,012345
I0100,600,600,800,268.0,402.0,0
I0101,1200,1200,100,7.0,8.2,012345
I0102,1200,800,2400,611.0,305.5,0
I0103,600,600,800,102.0,153.0,0
I0104,1200,800,200,5.0,2.5,0
I0105,1200,800,200,8.0,4.0,0
I0106,800,800,200,13.0,10.8,01
I0107,1200,1200,100,14.0,16.3,012345
I0108,1200,800,200,19.0,9.5,0
I0109,1200,1200,100,15.0,17.5,012345
I0110,1200,800,2400,580.0,290.0,0
I0111,800,800,1200,184.0,153.3,01
I0112,1200,1200,100,13.0,15.2,012345
I0113,1200,1200,2500,484.0,564.7,012345
I0114,1200,1200,2500,422.0,492.3,012345
I0115,1200,1200,100,17.0,19.8,012345
I0116,1200,800,2400,351.0,175.5,0
I0117,600,600,800,266.0,399.0,0
I0118,600,600,800,525.0,787.5,0
I0119,800,800,200,11.0,9.2,01
I0120,1200,800,2400,274.0,137.0,0
I0121,600,600,200,6.0,9.0,0
I0122,1200,800,200,6.0,3.0,0
I0123,600,600,200,5.0,7.5,0
I0124,600,600,800,271.0,406.5,0
I0125,1200,1200,2500,609.0,710.5,012345
I0126,800,800,1200,152.0,126.7,01
I0127,800,800,200,13.0,10.8,01
I0128,600,600,800,520.0,780.0,0
I0129,800,800,1200,376.0,313.3,01
I0130,1200,1200,2500,553.0,645.2,012345
I0131,1200,800,200,15.0,7.5,0
I0132,600,600,200,7.0,10.5,0
I0133,1200,1200,100,14.0,16.3,012345
I0134,1200,800,200,9.0,4.5,0
I0135,1200,1200,2500,406.0,473.7,012345
I0136,800,800,200,12.0,10.0,01
I0137,1200,800,2400,351.0,175.5,0
I0138,1200,800,2400,670.0,335.0,0
I0139,1200,1200,2500,486.0,567.0,012345
I0140,800,800,200,10.0,8.3,01
I0141,1200,1200,100,15.0,17.5,012345
I0142,800,800,1200,522.0,435.0,01
I0143,800,800,1200,349.0,290.8,01
I0144,1200,1200,100,19.0,22.2,012345
I0145,1200,800,2400,510.0,255.0,0
I0146,1200,800,2400,731.0,365.5,0
I0147,1200,800,2400,456.0,228.0,0
I0148,600,600,800,210.0,315.0,0
I0149,1200,1200,100,16.0,18.7,012345
I0150,800,800,200,8.0,6.7,01
I0151,1200,800,200,10.0,5.0,0
I0152,1200,1200,100,10.0,11.7,012345
I0153,1200,1200,100,13.0,15.2,012345
I0154,600,600,800,649.0,973.5,0
I0155,800,800,1200,288.0,240.0,01
I0156,800,800,1200,549.0,457.5,01
I0157,1200,1200,100,7.0,8.2,012345
I0158,1200,800,200,9.0,4.5,0
I0159,1200,800,2400,479.0,239.5,0
I0160,1200,800,2400,688.0,344.0,0
I0161,600,600,200,7.0,10.5,0
I0162,1200,800,2400,389.0,194.5,0
I0163,1200,800,200,13.0,6.5,0
I0164,800,800,200,13.0,10.8,01
I0165,1200,1200,2500,333.0,388.5,012345
I0166,800,800,1200,215.0,179.2,01
I0167,800,800,200,6.0,5.0,01
I0168,600,600,200,9.0,13.5,0
I0169,1200,1200,2500,429.0,500.5,012345
I0170,800,800,200,6.0,5.0,01
I0171,600,600,800,339.0,508.5,0
I0172,1200,800,2400,496.0,248.0,0
I0173,1200,1200,100,11.0,12.8,012345
I0174,600,600,800,498.0,747.0,0
I0175,1200,1200,100,7.0,8.2,012345
I0176,1200,800,2400,781.0,390.5,0
I0177,600,600,200,12.0,18.0,0
I0178,1200,1200,100,18.0,21.0,012345
I0179,800,800,1200,599.0,499.2,01
I0180,1200,1200,100,8.0,9.3,012345
I0181,800,800,1200,590.0,491.7,01
I0182,1200,800,2400,575.0,287.5,0
I0183,1200,800,2400,250.0,125.0,0
I0184,1200,800,200,9.0,4.5,0
I0185,800,800,1200,255.0,212.5,01
I0186,1200,1200,2500,716.0,835.3,012345
I0187,800,800,1200,341.0,284.2,01
I0188,800,800,200,12.0,10.0,01
I0189,1200,1200,2500,672.0,784.0,012345
I0190,600,600,800,123.0,184.5,0
I0191,800,800,200,12.0,10.0,01
I0192,1200,800,200,14.0,7.0,0
I0193,1200,1200,2500,124.0,144.7,012345
I0194,600,600,200,16.0,24.0,0
I0195,1200,800,200,16.0,8.0,0
I0196,800,800,1200,367.0,305.8,01
I0197,1200,800,2400,358.0,179.0,0
I0198,800,800,200,11.0,9.2,01
I0199,1200,800,200,9.0,4.5,0
I0200,1200,1200,100,12.0,14.0,012345
I0201,600,600,200,9.0,13.5,0
I0202,600,600,800,726.0,1089.0,0
I0203,800,800,1200,484.0,403.3,01
I0204,1200,800,200,13.0,6.5,0
I0205,600,600,800,262.0,393.0,0
I0206,1200,1200,100,12.0,14.0,012345
I0207,800,800,200,13.0,10.8,01
I0208,600,600,200,18.0,27.0,0
I0209,1200,800,200,8.0,4.0,0
I0210,600,600,200,8.0,12.0,0
