id,width,depth,height,weight,value,allowedRotations
I0000,5,10,5,1,0.5,012345
I0001,5,10,5,1,0.5,012345
I0002,5,10,5,1,0.5,012345
I0003,5,10,5,1,0.5,012345
I0004,5,10,5,1,0.5,012345
I0005,5,10,5,1,0.5,012345
I0006,5,10,5,1,0.5,012345
I0007,5,10,5,1,0.5,012345
I0008,5,10,5,1,0.5,012345
I0009,5,10,5,1,0.5,012345
I0010,5,10,5,1,0.5,012345
I0011,5,10,5,1,0.5,012345
I0012,5,10,5,1,0.5,012345
I0013,5,10,5,1,0.5,012345
I0014,5,10,5,1,0.5,012345
I0015,5,10,5,1,0.5,012345
I0016,5,10,5,1,0.5,012345
I0017,5,10,5,1,0.5,012345
I0018,5,10,5,1,0.5,012345
I0019,5,10,5,1,0.5,012345
I0020,5,10,5,1,0.5,012345
I0021,5,10,5,1,0.5,012345
I0022,5,10,5,1,0.5,012345
I0023,5,10,5,1,0.5,012345
I0024,5,10,5,1,0.5,012345
I0025,5,10,5,1,0.5,012345
I0026,5,10,5,1,0.5,012345
I0027,5,10,5,1,0.5,012345
I0028,5,10,5,1,0.5,012345
I0029,5,10,5,1,0.5,012345
I0030,5,10,5,1,0.5,012345
I0031,5,10,5,1,0.5,012345
I0032,5,10,5,1,0.5,012345
I0033,5,10,5,1,0.5,012345
I0034,5,10,5,1,0.5,012345
I0035,15,5,10,1,1.0,012345
I0036,15,5,10,1,1.0,012345
I0037,15,5,10,1,1.0,012345
I0038,15,5,10,1,1.0,012345
I0039,15,5,10,1,1.0,012345
I0040,15,5,10,1,1.0,012345
I0041,15,5,10,1,1.0,012345
I0042,15,5,10,1,1.0,012345
I0043,15,5,10,1,1.0,012345
I0044,15,5,10,1,1.0,012345
I0045,15,5,10,1,1.0,012345
I0046,15,5,10,1,1.0,012345
I0047,15,5,10,1,1.0,012345
I0048,15,5,10,1,1.0,012345
I0049,15,5,10,1,1.0,012345
I0050,15,5,10,1,1.0,012345
I0051,15,5,10,1,1.0,012345
I0052,15,5,10,1,1.0,012345
I0053,15,5,10,1,1.0,012345
I0054,15,5,10,1,1.0,012345
I0055,15,5,10,1,1.0,012345
I0056,15,5,10,1,1.0,012345
I0057,15,5,10,1,1.0,012345
I0058,15,5,10,1,1.0,012345
I0059,15,5,10,1,1.0,012345
I0060,15,5,10,1,1.0,012345
I0061,15,5,10,1,1.0,012345
I0062,15,5,10,1,1.0,012345
I0063,15,5,10,1,1.0,012345
I0064,15,5,10,1,1.0,012345
I0065,15,5,10,1,1.0,012345
I0066,15,5,10,1,1.0,012345
I0067,15,5,10,1,1.0,012345
I0068,15,5,10,1,1.0,012345
I0069,15,5,10,1,1.0,012345
I0070,15,5,10,1,1.0,012345
I0071,15,5,10,1,1.0,012345
I0072,15,5,10,1,1.0,012345
I0073,15,5,10,1,1.0,012345
I0074,15,5,10,1,1.0,012345
I0075,15,5,15,1,1.5,012345
I0076,15,5,15,1,1.5,012345
I0077,15,5,15,1,1.5,012345
I0078,15,5,15,1,1.5,012345
I0079,15,5,15,1,1.5,012345
I0080,15,5,15,1,1.5,012345
I0081,15,5,15,1,1.5,012345
I0082,15,5,15,1,1.5,012345
I0083,15,5,15,1,1.5,012345
I0084,15,5,15,1,1.5,012345
I0085,15,5,15,1,1.5,012345
I0086,15,5,15,1,1.5,012345
I0087,15,5,15,1,1.5,012345
I0088,15,5,15,1,1.5,012345
I0089,15,5,15,1,1.5,012345
I0090,15,5,15,1,1.5,012345
I0091,15,5,15,1,1.5,012345
I0092,15,5,15,1,1.5,012345
I0093,15,5,15,1,1.5,012345
I0094,15,5,15,1,1.5,012345
I0095,15,5,15,1,1.5,012345
I0096,15,5,15,1,1.5,012345
I0097,15,5,15,1,1.5,012345
I0098,15,5,15,1,1.5,012345
I0099,15,5,15,1,1.5,012345
I0100,15,5,15,1,1.5,012345
I0101,15,5,15,1,1.5,012345
I0102,15,5,15,1,1.5,012345
