type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
0,0,I0000,0,0,0,0
0,1,I0001,0,0,0,0
0,2,I0002,0,0,0,0
0,3,I0003,0,0,0,0
0,4,I0004,0,0,0,0
0,5,I0005,0,0,0,0
0,6,I0006,0,0,0,0
0,7,I0007,0,0,0,0
0,8,I0008,0,0,0,0
0,9,I0009,0,0,0,0
0,10,I0010,0,0,0,0
0,11,I0011,0,0,0,0
0,12,I0012,0,0,0,0
0,13,I0013,0,0,0,0
0,14,I0014,0,0,0,0
0,15,I0015,0,0,0,0
0,16,I0016,0,0,0,0
0,17,I0017,0,0,0,0
0,18,I0018,0,0,0,0
0,19,I0019,0,0,0,0
0,20,I0020,0,0,0,0
0,21,I0021,0,0,0,0
0,22,I0022,0,0,0,0
0,23,I0023,0,0,0,0
0,24,I0024,0,0,0,0
0,25,I0025,0,0,0,0
0,26,I0026,0,0,0,0
0,27,I0027,0,0,0,0
0,28,I0028,0,0,0,0
0,29,I0029,0,0,0,0
0,30,I0030,0,0,0,0
0,31,I0031,0,0,0,0
0,32,I0032,0,0,0,0
0,33,I0033,0,0,0,0
0,34,I0034,0,0,0,0
0,35,I0035,0,0,0,0
0,36,I0036,0,0,0,0
0,37,I0037,0,0,0,0
0,38,I0038,0,0,0,0
0,39,I0039,0,0,0,0
0,40,I0040,0,0,0,0
0,41,I0041,0,0,0,0
0,42,I0042,0,0,0,0
0,43,I0043,0,0,0,0
0,44,I0044,0,0,0,0
0,45,I0045,0,0,0,0
0,46,I0046,0,0,0,0
0,47,I0047,0,0,0,0
0,48,I0048,0,0,0,0
0,49,I0049,0,0,0,0
0,50,I0050,0,0,0,0
0,51,I0051,0,0,0,0
0,52,I0052,0,0,0,0
0,53,I0053,0,0,0,0
0,54,I0054,0,0,0,0
0,55,I0055,0,0,0,0
0,56,I0056,0,0,0,0
0,57,I0057,0,0,0,0
0,58,I0058,0,0,0,0
0,59,I0059,0,0,0,0
0,60,I0060,0,0,0,0
0,61,I0061,0,0,0,0
0,62,I0062,0,0,0,0
0,63,I0063,0,0,0,0
0,64,I0064,0,0,0,0
0,65,I0065,0,0,0,0
0,66,I0066,0,0,0,0
0,67,I0067,0,0,0,0
0,68,I0068,0,0,0,0
0,69,I0069,0,0,0,0
0,70,I0070,0,0,0,0
0,71,I0071,0,0,0,0
0,72,I0072,0,0,0,0
0,73,I0073,0,0,0,0
0,74,I0074,0,0,0,0
0,75,I0075,0,0,0,0
0,76,I0076,0,0,0,0
0,77,I0077,0,0,0,0
0,78,I0078,0,0,0,0
0,79,I0079,0,0,0,0
0,80,I0080,0,0,0,0
0,81,I0081,0,0,0,0
0,82,I0082,0,0,0,0
0,83,I0083,0,0,0,0
0,84,I0084,0,0,0,0
0,85,I0085,0,0,0,0
0,86,I0086,0,0,0,0
0,87,I0087,0,0,0,0
0,88,I0088,0,0,0,0
0,89,I0089,0,0,0,0
0,90,I0090,0,0,0,0
0,91,I0091,0,0,0,0
0,92,I0092,0,0,0,0
0,93,I0093,0,0,0,0
0,94,I0094,0,0,0,0
0,95,I0095,0,0,0,0
0,96,I0096,0,0,0,0
0,97,I0097,0,0,0,0
0,98,I0098,0,0,0,0
0,99,I0099,0,0,0,0
0,100,I0100,0,0,0,0
0,101,I0101,0,0,0,0
0,102,I0102,0,0,0,0
0,103,I0103,0,0,0,0
0,104,I0104,0,0,0,0
0,105,I0105,0,0,0,0
0,106,I0106,0,0,0,0
0,107,I0107,0,0,0,0
0,108,I0108,0,0,0,0
0,109,I0109,0,0,0,0
0,110,I0110,0,0,0,0
0,111,I0111,0,0,0,0
0,112,I0112,0,0,0,0
0,113,I0113,0,0,0,0
0,114,I0114,0,0,0,0
0,115,I0115,0,0,0,0
0,116,I0116,0,0,0,0
0,117,I0117,0,0,0,0
0,118,I0118,0,0,0,0
0,119,I0119,0,0,0,0
0,120,I0120,0,0,0,0
0,121,I0121,0,0,0,0
0,122,I0122,0,0,0,0
0,123,I0123,0,0,0,0
0,124,I0124,0,0,0,0
0,125,I0125,0,0,0,0
0,126,I0126,0,0,0,0
0,127,I0127,0,0,0,0
0,128,I0128,0,0,0,0
0,129,I0129,0,0,0,0
0,130,I0130,0,0,0,0
0,131,I0131,0,0,0,0
0,132,I0132,0,0,0,0
0,133,I0133,0,0,0,0
0,134,I0134,0,0,0,0
0,135,I0135,0,0,0,0
0,136,I0136,0,0,0,0
0,137,I0137,0,0,0,0
0,138,I0138,0,0,0,0
0,139,I0139,0,0,0,0
0,140,I0140,0,0,0,0
0,141,I0141,0,0,0,0
0,142,I0142,0,0,0,0
0,143,I0143,0,0,0,0
0,144,I0144,0,0,0,0
0,145,I0145,0,0,0,0
0,146,I0146,0,0,0,0
0,147,I0147,0,0,0,0
0,148,I0148,0,0,0,0
0,149,I0149,0,0,0,0
0,150,I0150,0,0,0,0
0,151,I0151,0,0,0,0
0,152,I0152,0,0,0,0
0,153,I0153,0,0,0,0
0,154,I0154,0,0,0,0
0,155,I0155,0,0,0,0
0,156,I0156,0,0,0,0
0,157,I0157,0,0,0,0
0,158,I0158,0,0,0,0
0,159,I0159,0,0,0,0
0,160,I0160,0,0,0,0
0,161,I0161,0,0,0,0
0,162,I0162,0,0,0,0
0,163,I0163,0,0,0,0
0,164,I0164,0,0,0,0
0,165,I0165,0,0,0,0
0,166,I0166,0,0,0,0
0,167,I0167,0,0,0,0
0,168,I0168,0,0,0,0
0,169,I0169,0,0,0,0
0,170,I0170,0,0,0,0
0,171,I0171,0,0,0,0
0,172,I0172,0,0,0,0
0,173,I0173,0,0,0,0
0,174,I0174,0,0,0,0
0,175,I0175,0,0,0,0
0,176,I0176,0,0,0,0
0,177,I0177,0,0,0,0
0,178,I0178,0,0,0,0
0,179,I0179,0,0,0,0
0,180,I0180,0,0,0,0
0,181,I0181,0,0,0,0
0,182,I0182,0,0,0,0
0,183,I0183,0,0,0,0
0,184,I0184,0,0,0,0
0,185,I0185,0,0,0,0
0,186,I0186,0,0,0,0
0,187,I0187,0,0,0,0
0,188,I0188,0,0,0,0
0,189,I0189,0,0,0,0
0,190,I0190,0,0,0,0
0,191,I0191,0,0,0,0
0,192,I0192,0,0,0,0
0,193,I0193,0,0,0,0
0,194,I0194,0,0,0,0
0,195,I0195,0,0,0,0
0,196,I0196,0,0,0,0
0,197,I0197,0,0,0,0
0,198,I0198,0,0,0,0
0,199,I0199,0,0,0,0
0,200,I0200,0,0,0,0
0,201,I0201,0,0,0,0
0,202,I0202,0,0,0,0
0,203,I0203,0,0,0,0
0,204,I0204,0,0,0,0
0,205,I0205,0,0,0,0
0,206,I0206,0,0,0,0
0,207,I0207,0,0,0,0
0,208,I0208,0,0,0,0
0,209,I0209,0,0,0,0
0,210,I0210,0,0,0,0
0,211,I0211,0,0,0,0
0,212,I0212,0,0,0,0
0,213,I0213,0,0,0,0
0,214,I0214,0,0,0,0
0,215,I0215,0,0,0,0
0,216,I0216,0,0,0,0
0,217,I0217,0,0,0,0
0,218,I0218,0,0,0,0
0,219,I0219,0,0,0,0
0,220,I0220,0,0,0,0
0,221,I0221,0,0,0,0
0,222,I0222,0,0,0,0
0,223,I0223,0,0,0,0
0,224,I0224,0,0,0,0
0,225,I0225,0,0,0,0
0,226,I0226,0,0,0,0
0,227,I0227,0,0,0,0
0,228,I0228,0,0,0,0
0,229,I0229,0,0,0,0
0,230,I0230,0,0,0,0
0,231,I0231,0,0,0,0
0,232,I0232,0,0,0,0
0,233,I0233,0,0,0,0
0,234,I0234,0,0,0,0
0,235,I0235,0,0,0,0
0,236,I0236,0,0,0,0
0,237,I0237,0,0,0,0
0,238,I0238,0,0,0,0
0,239,I0239,0,0,0,0
0,240,I0240,0,0,0,0
0,241,I0241,0,0,0,0
0,242,I0242,0,0,0,0
0,243,I0243,0,0,0,0
0,244,I0244,0,0,0,0
0,245,I0245,0,0,0,0
0,246,I0246,0,0,0,0
0,247,I0247,0,0,0,0
0,248,I0248,0,0,0,0
0,249,I0249,0,0,0,0
0,250,I0250,0,0,0,0
0,251,I0251,0,0,0,0
0,252,I0252,0,0,0,0
0,253,I0253,0,0,0,0
0,254,I0254,0,0,0,0
0,255,I0255,0,0,0,0
0,256,I0256,0,0,0,0
0,257,I0257,0,0,0,0
0,258,I0258,0,0,0,0
0,259,I0259,0,0,0,0
0,260,I0260,0,0,0,0
0,261,I0261,0,0,0,0
0,262,I0262,0,0,0,0
0,263,I0263,0,0,0,0
0,264,I0264,0,0,0,0
0,265,I0265,0,0,0,0
0,266,I0266,0,0,0,0
0,267,I0267,0,0,0,0
0,268,I0268,0,0,0,0
0,269,I0269,0,0,0,0
0,270,I0270,0,0,0,0
0,271,I0271,0,0,0,0
0,272,I0272,0,0,0,0
0,273,I0273,0,0,0,0
0,274,I0274,0,0,0,0
0,275,I0275,0,0,0,0
0,276,I0276,0,0,0,0
0,277,I0277,0,0,0,0
0,278,I0278,0,0,0,0
0,279,I0279,0,0,0,0
0,280,I0280,0,0,0,0
0,281,I0281,0,0,0,0
0,282,I0282,0,0,0,0
0,283,I0283,0,0,0,0
0,284,I0284,0,0,0,0
0,285,I0285,0,0,0,0
0,286,I0286,0,0,0,0
0,287,I0287,0,0,0,0
0,288,I0288,0,0,0,0
0,289,I0289,0,0,0,0
0,290,I0290,0,0,0,0
0,291,I0291,0,0,0,0
0,292,I0292,0,0,0,0
0,293,I0293,0,0,0,0
0,294,I0294,0,0,0,0
0,295,I0295,0,0,0,0
0,296,I0296,0,0,0,0
0,297,I0297,0,0,0,0
0,298,I0298,0,0,0,0
0,299,I0299,0,0,0,0
0,300,I0300,0,0,0,0
0,301,I0301,0,0,0,0
0,302,I0302,0,0,0,0
0,303,I0303,0,0,0,0
0,304,I0304,0,0,0,0
0,305,I0305,0,0,0,0
0,306,I0306,0,0,0,0
0,307,I0307,0,0,0,0
0,308,I0308,0,0,0,0
0,309,I0309,0,0,0,0
0,310,I0310,0,0,0,0
0,311,I0311,0,0,0,0
0,312,I0312,0,0,0,0
0,313,I0313,0,0,0,0
0,314,I0314,0,0,0,0
0,315,I0315,0,0,0,0
0,316,I0316,0,0,0,0
0,317,I0317,0,0,0,0
0,318,I0318,0,0,0,0
0,319,I0319,0,0,0,0
0,320,I0320,0,0,0,0
0,321,I0321,0,0,0,0
0,322,I0322,0,0,0,0
0,323,I0323,0,0,0,0
0,324,I0324,0,0,0,0
0,325,I0325,0,0,0,0
0,326,I0326,0,0,0,0
0,327,I0327,0,0,0,0
0,328,I0328,0,0,0,0
0,329,I0329,0,0,0,0
0,330,I0330,0,0,0,0
0,331,I0331,0,0,0,0
0,332,I0332,0,0,0,0
0,333,I0333,0,0,0,0
0,334,I0334,0,0,0,0
0,335,I0335,0,0,0,0
0,336,I0336,0,0,0,0
0,337,I0337,0,0,0,0
0,338,I0338,0,0,0,0
0,339,I0339,0,0,0,0
0,340,I0340,0,0,0,0
0,341,I0341,0,0,0,0
0,342,I0342,0,0,0,0
0,343,I0343,0,0,0,0
0,344,I0344,0,0,0,0
0,345,I0345,0,0,0,0
0,346,I0346,0,0,0,0
0,347,I0347,0,0,0,0
0,348,I0348,0,0,0,0
0,349,I0349,0,0,0,0
0,350,I0350,0,0,0,0
0,351,I0351,0,0,0,0
0,352,I0352,0,0,0,0
0,353,I0353,0,0,0,0
0,354,I0354,0,0,0,0
0,355,I0355,0,0,0,0
0,356,I0356,0,0,0,0
0,357,I0357,0,0,0,0
0,358,I0358,0,0,0,0
0,359,I0359,0,0,0,0
0,360,I0360,0,0,0,0
0,361,I0361,0,0,0,0
0,362,I0362,0,0,0,0
0,363,I0363,0,0,0,0
0,364,I0364,0,0,0,0
0,365,I0365,0,0,0,0
0,366,I0366,0,0,0,0
0,367,I0367,0,0,0,0
0,368,I0368,0,0,0,0
0,369,I0369,0,0,0,0
0,370,I0370,0,0,0,0
0,371,I0371,0,0,0,0
0,372,I0372,0,0,0,0
0,373,I0373,0,0,0,0
0,374,I0374,0,0,0,0
0,375,I0375,0,0,0,0
0,376,I0376,0,0,0,0
0,377,I0377,0,0,0,0
0,378,I0378,0,0,0,0
0,379,I0379,0,0,0,0
0,380,I0380,0,0,0,0
0,381,I0381,0,0,0,0
0,382,I0382,0,0,0,0
0,383,I0383,0,0,0,0
0,384,I0384,0,0,0,0
0,385,I0385,0,0,0,0
0,386,I0386,0,0,0,0
0,387,I0387,0,0,0,0
0,388,I0388,0,0,0,0
0,389,I0389,0,0,0,0
0,390,I0390,0,0,0,0
0,391,I0391,0,0,0,0
0,392,I0392,0,0,0,0
0,393,I0393,0,0,0,0
0,394,I0394,0,0,0,0
0,395,I0395,0,0,0,0
0,396,I0396,0,0,0,0
0,397,I0397,0,0,0,0
0,398,I0398,0,0,0,0
0,399,I0399,0,0,0,0
0,400,I0400,0,0,0,0
0,401,I0401,0,0,0,0
0,402,I0402,0,0,0,0
0,403,I0403,0,0,0,0
0,404,I0404,0,0,0,0
0,405,I0405,0,0,0,0
0,406,I0406,0,0,0,0
0,407,I0407,0,0,0,0
0,408,I0408,0,0,0,0
0,409,I0409,0,0,0,0
0,410,I0410,0,0,0,0
0,411,I0411,0,0,0,0
0,412,I0412,0,0,0,0
0,413,I0413,0,0,0,0
0,414,I0414,0,0,0,0
0,415,I0415,0,0,0,0
0,416,I0416,0,0,0,0
0,417,I0417,0,0,0,0
0,418,I0418,0,0,0,0
0,419,I0419,0,0,0,0
0,420,I0420,0,0,0,0
0,421,I0421,0,0,0,0
0,422,I0422,0,0,0,0
0,423,I0423,0,0,0,0
0,424,I0424,0,0,0,0
0,425,I0425,0,0,0,0
0,426,I0426,0,0,0,0
0,427,I0427,0,0,0,0
0,428,I0428,0,0,0,0
0,429,I0429,0,0,0,0
0,430,I0430,0,0,0,0
0,431,I0431,0,0,0,0
0,432,I0432,0,0,0,0
0,433,I0433,0,0,0,0
0,434,I0434,0,0,0,0
0,435,I0435,0,0,0,0
0,436,I0436,0,0,0,0
0,437,I0437,0,0,0,0
0,438,I0438,0,0,0,0
0,439,I0439,0,0,0,0
0,440,I0440,0,0,0,0
0,441,I0441,0,0,0,0
0,442,I0442,0,0,0,0
0,443,I0443,0,0,0,0
0,444,I0444,0,0,0,0
0,445,I0445,0,0,0,0
0,446,I0446,0,0,0,0
0,447,I0447,0,0,0,0
0,448,I0448,0,0,0,0
0,449,I0449,0,0,0,0
0,450,I0450,0,0,0,0
0,451,I0451,0,0,0,0
0,452,I0452,0,0,0,0
0,453,I0453,0,0,0,0
0,454,I0454,0,0,0,0
0,455,I0455,0,0,0,0
0,456,I0456,0,0,0,0
0,457,I0457,0,0,0,0
0,458,I0458,0,0,0,0
0,459,I0459,0,0,0,0
0,460,I0460,0,0,0,0
0,461,I0461,0,0,0,0
0,462,I0462,0,0,0,0
0,463,I0463,0,0,0,0
0,464,I0464,0,0,0,0
0,465,I0465,0,0,0,0
0,466,I0466,0,0,0,0
0,467,I0467,0,0,0,0
0,468,I0468,0,0,0,0
0,469,I0469,0,0,0,0
0,470,I0470,0,0,0,0
0,471,I0471,0,0,0,0
0,472,I0472,0,0,0,0
0,473,I0473,0,0,0,0
0,474,I0474,0,0,0,0
0,475,I0475,0,0,0,0
0,476,I0476,0,0,0,0
0,477,I0477,0,0,0,0
0,478,I0478,0,0,0,0
0,479,I0479,0,0,0,0
0,480,I0480,0,0,0,0
0,481,I0481,0,0,0,0
0,482,I0482,0,0,0,0
0,483,I0483,0,0,0,0
0,484,I0484,0,0,0,0
0,485,I0485,0,0,0,0
0,486,I0486,0,0,0,0
0,487,I0487,0,0,0,0
0,488,I0488,0,0,0,0
0,489,I0489,0,0,0,0
0,490,I0490,0,0,0,0
0,491,I0491,0,0,0,0
0,492,I0492,0,0,0,0
0,493,I0493,0,0,0,0
0,494,I0494,0,0,0,0
0,495,I0495,0,0,0,0
0,496,I0496,0,0,0,0
0,497,I0497,0,0,0,0
0,498,I0498,0,0,0,0
0,499,I0499,0,0,0,0
0,500,I0500,0,0,0,0
0,501,I0501,0,0,0,0
0,502,I0502,0,0,0,0
0,503,I0503,0,0,0,0
0,504,I0504,0,0,0,0
0,505,I0505,0,0,0,0
0,506,I0506,0,0,0,0
0,507,I0507,0,0,0,0
0,508,I0508,0,0,0,0
0,509,I0509,0,0,0,0
0,510,I0510,0,0,0,0
0,511,I0511,0,0,0,0
0,512,I0512,0,0,0,0
0,513,I0513,0,0,0,0
0,514,I0514,0,0,0,0
0,515,I0515,0,0,0,0
0,516,I0516,0,0,0,0
0,517,I0517,0,0,0,0
0,518,I0518,0,0,0,0
0,519,I0519,0,0,0,0
0,520,I0520,0,0,0,0
0,521,I0521,0,0,0,0
0,522,I0522,0,0,0,0
0,523,I0523,0,0,0,0
0,524,I0524,0,0,0,0
0,525,I0525,0,0,0,0
0,526,I0526,0,0,0,0
0,527,I0527,0,0,0,0
0,528,I0528,0,0,0,0
0,529,I0529,0,0,0,0
0,530,I0530,0,0,0,0
0,531,I0531,0,0,0,0
0,532,I0532,0,0,0,0
0,533,I0533,0,0,0,0
0,534,I0534,0,0,0,0
0,535,I0535,0,0,0,0
0,536,I0536,0,0,0,0
0,537,I0537,0,0,0,0
0,538,I0538,0,0,0,0
0,539,I0539,0,0,0,0
0,540,I0540,0,0,0,0
0,541,I0541,0,0,0,0
0,542,I0542,0,0,0,0
0,543,I0543,0,0,0,0
0,544,I0544,0,0,0,0
0,545,I0545,0,0,0,0
0,546,I0546,0,0,0,0
0,547,I0547,0,0,0,0
0,548,I0548,0,0,0,0
0,549,I0549,0,0,0,0
0,550,I0550,0,0,0,0
0,551,I0551,0,0,0,0
0,552,I0552,0,0,0,0
0,553,I0553,0,0,0,0
0,554,I0554,0,0,0,0
0,555,I0555,0,0,0,0
0,556,I0556,0,0,0,0
0,557,I0557,0,0,0,0
0,558,I0558,0,0,0,0
0,559,I0559,0,0,0,0
0,560,I0560,0,0,0,0
0,561,I0561,0,0,0,0
0,562,I0562,0,0,0,0
0,563,I0563,0,0,0,0
0,564,I0564,0,0,0,0
0,565,I0565,0,0,0,0
0,566,I0566,0,0,0,0
0,567,I0567,0,0,0,0
0,568,I0568,0,0,0,0
0,569,I0569,0,0,0,0
0,570,I0570,0,0,0,0
0,571,I0571,0,0,0,0
0,572,I0572,0,0,0,0
0,573,I0573,0,0,0,0
0,574,I0574,0,0,0,0
0,575,I0575,0,0,0,0
0,576,I0576,0,0,0,0
0,577,I0577,0,0,0,0
0,578,I0578,0,0,0,0
0,579,I0579,0,0,0,0
0,580,I0580,0,0,0,0
0,581,I0581,0,0,0,0
0,582,I0582,0,0,0,0
0,583,I0583,0,0,0,0
0,584,I0584,0,0,0,0
0,585,I0585,0,0,0,0
0,586,I0586,0,0,0,0
0,587,I0587,0,0,0,0
0,588,I0588,0,0,0,0
0,589,I0589,0,0,0,0
0,590,I0590,0,0,0,0
0,591,I0591,0,0,0,0
0,592,I0592,0,0,0,0
0,593,I0593,0,0,0,0
0,594,I0594,0,0,0,0
0,595,I0595,0,0,0,0
0,596,I0596,0,0,0,0
0,597,I0597,0,0,0,0
0,598,I0598,0,0,0,0
0,599,I0599,0,0,0,0
0,600,I0600,0,0,0,0
0,601,I0601,0,0,0,0
0,602,I0602,0,0,0,0
0,603,I0603,0,0,0,0
0,604,I0604,0,0,0,0
0,605,I0605,0,0,0,0
0,606,I0606,0,0,0,0
0,607,I0607,0,0,0,0
0,608,I0608,0,0,0,0
0,609,I0609,0,0,0,0
0,610,I0610,0,0,0,0
0,611,I0611,0,0,0,0
0,612,I0612,0,0,0,0
0,613,I0613,0,0,0,0
0,614,I0614,0,0,0,0
0,615,I0615,0,0,0,0
0,616,I0616,0,0,0,0
0,617,I0617,0,0,0,0
0,618,I0618,0,0,0,0
0,619,I0619,0,0,0,0
0,620,I0620,0,0,0,0
0,621,I0621,0,0,0,0
0,622,I0622,0,0,0,0
0,623,I0623,0,0,0,0
0,624,I0624,0,0,0,0
0,625,I0625,0,0,0,0
0,626,I0626,0,0,0,0
0,627,I0627,0,0,0,0
0,628,I0628,0,0,0,0
0,629,I0629,0,0,0,0
0,630,I0630,0,0,0,0
0,631,I0631,0,0,0,0
0,632,I0632,0,0,0,0
0,633,I0633,0,0,0,0
0,634,I0634,0,0,0,0
0,635,I0635,0,0,0,0
0,636,I0636,0,0,0,0
0,637,I0637,0,0,0,0
0,638,I0638,0,0,0,0
0,639,I0639,0,0,0,0
0,640,I0640,0,0,0,0
0,641,I0641,0,0,0,0
0,642,I0642,0,0,0,0
0,643,I0643,0,0,0,0
0,644,I0644,0,0,0,0
0,645,I0645,0,0,0,0
0,646,I0646,0,0,0,0
0,647,I0647,0,0,0,0
0,648,I0648,0,0,0,0
0,649,I0649,0,0,0,0
0,650,I0650,0,0,0,0
0,651,I0651,0,0,0,0
0,652,I0652,0,0,0,0
0,653,I0653,0,0,0,0
0,654,I0654,0,0,0,0
0,655,I0655,0,0,0,0
0,656,I0656,0,0,0,0
0,657,I0657,0,0,0,0
0,658,I0658,0,0,0,0
0,659,I0659,0,0,0,0
0,660,I0660,0,0,0,0
0,661,I0661,0,0,0,0
0,662,I0662,0,0,0,0
0,663,I0663,0,0,0,0
0,664,I0664,0,0,0,0
0,665,I0665,0,0,0,0
0,666,I0666,0,0,0,0
0,667,I0667,0,0,0,0
0,668,I0668,0,0,0,0
0,669,I0669,0,0,0,0
0,670,I0670,0,0,0,0
0,671,I0671,0,0,0,0
0,672,I0672,0,0,0,0
0,673,I0673,0,0,0,0
0,674,I0674,0,0,0,0
0,675,I0675,0,0,0,0
0,676,I0676,0,0,0,0
0,677,I0677,0,0,0,0
0,678,I0678,0,0,0,0
0,679,I0679,0,0,0,0
0,680,I0680,0,0,0,0
0,681,I0681,0,0,0,0
0,682,I0682,0,0,0,0
0,683,I0683,0,0,0,0
0,684,I0684,0,0,0,0
0,685,I0685,0,0,0,0
0,686,I0686,0,0,0,0
0,687,I0687,0,0,0,0
0,688,I0688,0,0,0,0
0,689,I0689,0,0,0,0
0,690,I0690,0,0,0,0
0,691,I0691,0,0,0,0
0,692,I0692,0,0,0,0
0,693,I0693,0,0,0,0
0,694,I0694,0,0,0,0
0,695,I0695,0,0,0,0
0,696,I0696,0,0,0,0
0,697,I0697,0,0,0,0
0,698,I0698,0,0,0,0
0,699,I0699,0,0,0,0
0,700,I0700,0,0,0,0
0,701,I0701,0,0,0,0
0,702,I0702,0,0,0,0
0,703,I0703,0,0,0,0
0,704,I0704,0,0,0,0
0,705,I0705,0,0,0,0
0,706,I0706,0,0,0,0
0,707,I0707,0,0,0,0
0,708,I0708,0,0,0,0
0,709,I0709,0,0,0,0
0,710,I0710,0,0,0,0
0,711,I0711,0,0,0,0
0,712,I0712,0,0,0,0
0,713,I0713,0,0,0,0
0,714,I0714,0,0,0,0
0,715,I0715,0,0,0,0
0,716,I0716,0,0,0,0
0,717,I0717,0,0,0,0
0,718,I0718,0,0,0,0
0,719,I0719,0,0,0,0
0,720,I0720,0,0,0,0
0,721,I0721,0,0,0,0
0,722,I0722,0,0,0,0
0,723,I0723,0,0,0,0
0,724,I0724,0,0,0,0
0,725,I0725,0,0,0,0
0,726,I0726,0,0,0,0
0,727,I0727,0,0,0,0
0,728,I0728,0,0,0,0
0,729,I0729,0,0,0,0
0,730,I0730,0,0,0,0
0,731,I0731,0,0,0,0
0,732,I0732,0,0,0,0
0,733,I0733,0,0,0,0
0,734,I0734,0,0,0,0
0,735,I0735,0,0,0,0
0,736,I0736,0,0,0,0
0,737,I0737,0,0,0,0
0,738,I0738,0,0,0,0
0,739,I0739,0,0,0,0
0,740,I0740,0,0,0,0
0,741,I0741,0,0,0,0
0,742,I0742,0,0,0,0
0,743,I0743,0,0,0,0
0,744,I0744,0,0,0,0
0,745,I0745,0,0,0,0
0,746,I0746,0,0,0,0
0,747,I0747,0,0,0,0
0,748,I0748,0,0,0,0
0,749,I0749,0,0,0,0
0,750,I0750,0,0,0,0
0,751,I0751,0,0,0,0
0,752,I0752,0,0,0,0
0,753,I0753,0,0,0,0
0,754,I0754,0,0,0,0
0,755,I0755,0,0,0,0
0,756,I0756,0,0,0,0
0,757,I0757,0,0,0,0
0,758,I0758,0,0,0,0
0,759,I0759,0,0,0,0
0,760,I0760,0,0,0,0
0,761,I0761,0,0,0,0
0,762,I0762,0,0,0,0
0,763,I0763,0,0,0,0
0,764,I0764,0,0,0,0
0,765,I0765,0,0,0,0
0,766,I0766,0,0,0,0
0,767,I0767,0,0,0,0
0,768,I0768,0,0,0,0
0,769,I0769,0,0,0,0
0,770,I0770,0,0,0,0
0,771,I0771,0,0,0,0
0,772,I0772,0,0,0,0
0,773,I0773,0,0,0,0
0,774,I0774,0,0,0,0
0,775,I0775,0,0,0,0
0,776,I0776,0,0,0,0
0,777,I0777,0,0,0,0
0,778,I0778,0,0,0,0
0,779,I0779,0,0,0,0
0,780,I0780,0,0,0,0
0,781,I0781,0,0,0,0
0,782,I0782,0,0,0,0
0,783,I0783,0,0,0,0
0,784,I0784,0,0,0,0
0,785,I0785,0,0,0,0
0,786,I0786,0,0,0,0
0,787,I0787,0,0,0,0
0,788,I0788,0,0,0,0
0,789,I0789,0,0,0,0
0,790,I0790,0,0,0,0
0,791,I0791,0,0,0,0
0,792,I0792,0,0,0,0
0,793,I0793,0,0,0,0
0,794,I0794,0,0,0,0
0,795,I0795,0,0,0,0
0,796,I0796,0,0,0,0
0,797,I0797,0,0,0,0
0,798,I0798,0,0,0,0
0,799,I0799,0,0,0,0
0,800,I0800,0,0,0,0
0,801,I0801,0,0,0,0
0,802,I0802,0,0,0,0
